WE1_counts	WE2_counts	M1_counts	M2_counts	M3_counts
YDR462W	594	1067	1114	1005	733
YJL148W	12149	9976	7799	13125	5972
YIL057C	2	0	5	0	6
YPL055C	900	1135	829	835	575
YLR353W	1646	2011	3010	2582	2098
YIL148W	96166	128609	132894	111793	108641
YNR016C	77062	130473	120670	119408	89461
YFR036W	223	411	79	95	49
YHR114W	2180	2645	3287	3578	2332
YGR028W	1189	1918	2970	3256	2084
YER150W	399	824	1772	239	833
YNL279W	595	1226	587	591	359
YCL034W	1436	2509	2901	2364	2106
YOL027C	6048	8121	11363	10830	7146
YPL257W	138	153	0	0	0
YPL120W	715	1021	1636	1382	1200
YOL145C	7029	6836	8742	9661	6179
YJL099W	1020	1647	989	1167	658
YHR149C	4767	4611	5997	10199	4103
YDR395W	14739	15323	20010	22679	15150
YOL110W	593	1106	1209	783	807
YDR005C	1386	1436	2829	2118	1958
YMR311C	2063	2823	2681	2350	2066
YBL039C	29402	33005	31058	44363	24387
YGR188C	1010	1116	1271	1392	813
YOR362C	7163	9401	11218	10365	8512
YLR126C	1014	684	465	698	302
YDL053C	1280	1211	1413	1421	1055
YML074C	24505	29277	25103	26100	18415
YKR062W	1970	2571	4364	3705	3370
YNL286W	1195	1216	1286	1202	1083
YER010C	1128	2573	1173	997	968
YML003W	136	221	290	388	194
YMR097C	981	1095	1421	1152	961
YDL133W	1663	2336	3142	2184	2242
YNL330C	3440	4276	5968	5825	4579
YHR096C	164	271	330	338	198
YBR008C	1943	1827	1481	1476	1139
YGL249W	209	260	545	568	389
YMR253C	824	1356	1366	1200	979
YCR102C	178	291	256	262	173
YJL127C-B	744	871	1326	1682	1235
YOR257W	1146	1010	1212	1211	1052
YGR002C	1203	1514	1871	2636	1313
YDR042C	72	77	50	62	47
YGR075C	1995	2180	2337	3507	2017
YGR253C	6453	7174	7822	8766	5888
YDR510W	6795	8176	8713	7927	6599
YPR045C	1486	2025	1912	1968	1426
YPR010C	38239	55149	39423	50738	29999
YPL231W	64788	150528	119922	106513	92692
YLR148W	1586	1740	2418	2379	1717
YMR137C	402	679	653	677	488
YDL082W	54605	64919	79944	64013	54315
YKL155C	2164	2733	3266	3259	2154
YBR162W-A	3274	3597	2824	2902	2436
YFL042C	698	1333	1844	1414	1490
YDR148C	4396	8190	10971	8742	7367
YPL096W	874	1168	1643	1175	1127
YDR335W	6144	8440	11934	11097	9092
YPR141C	1473	1560	1653	1500	1143
