ID_REF,G3.2_0ISO_1,G3.2_0ISO_2,G3.2_0ISO_3,G3.2_5ISO_1,G3.2_5ISO_2,G3.2_5ISO_3
2280_510,5.8765,6.0858,6.1345,6.5147,6.2826,6.2719
2281_1287,8.8096,8.6797,8.8531,9.0482,8.9713,8.9433
2282_335,8.3938,8.7565,8.6626,8.7480,8.6326,8.6215
2283_507,6.9594,6.8790,6.9454,6.6315,6.6497,6.6456
2284_1110,7.9694,8.1783,8.1063,7.5241,7.8107,7.6813
2285_720,7.6078,7.6228,7.6952,8.0346,7.8982,8.0166
2286_495,7.9883,8.0644,7.9889,7.9368,7.8604,7.8150
2287_745,7.5356,7.3829,7.2600,7.3546,7.2091,7.2047
2288_565,6.6556,6.6241,6.5346,6.6877,6.5575,6.5869
2289_1035,8.1756,8.2367,8.1934,8.2684,8.1645,8.2063
228_890,6.3962,6.3232,6.3130,6.6743,6.6264,6.5793
2290_887,6.0519,6.1147,5.9930,6.2924,6.2209,6.0607
2291_632,5.9733,6.0922,5.9915,5.7988,5.8545,5.8305
2292_1130,8.3038,8.2317,8.1898,8.5049,8.3976,8.3810
2293_1526,5.9999,6.0794,5.9907,6.2786,6.3222,6.3497
2294_12,8.1211,8.3827,8.2837,8.5095,8.4331,8.3390
2295_394,8.1683,8.4173,8.3461,8.0924,8.2871,8.2411
2296_673,7.4386,7.6222,7.5793,7.3868,7.3451,7.2641
2297_645,7.7222,7.9714,7.8370,7.7184,7.6821,7.6669
2298_263,8.4816,8.4776,8.4037,8.2228,8.2214,8.1450
2299_454,6.9955,7.1898,7.2153,6.7857,6.9915,6.9783
229_176,7.3974,7.6909,7.6303,7.4636,7.2027,7.2003
22_15,5.7055,5.6050,5.5899,5.4021,5.6333,5.5837
2300_161,8.1002,8.0096,7.8222,8.0776,8.0264,7.9674
2301_776,6.4401,6.5337,6.5137,6.3831,6.1966,6.1943
2302_462,4.5367,4.5063,4.4995,4.4401,4.6250,4.5872
2303_284,3.8800,3.9714,3.8295,3.9617,3.8482,3.8800
2304_269,4.8558,4.6054,4.7040,4.8702,4.7637,4.7384
2305_443,4.3450,4.3689,4.5030,4.4848,4.5705,4.5114
2306_2357,4.4446,4.4807,4.4568,4.4270,4.5454,4.4668
2307_517,3.9836,3.9636,3.6018,3.8830,3.7317,3.7632
2308_291,8.5670,8.9171,8.8191,8.4981,8.4846,8.4817
2309_1886,6.7408,6.7487,6.7577,6.2983,6.4340,6.3304
230_730,5.0195,4.9970,4.8807,5.4544,5.3378,5.2664
2310_1051,5.1747,5.4196,5.1622,5.0890,4.9470,4.9215
2311_204,8.2763,6.4803,6.5431,6.6055,6.7206,6.9218
2312_1146,6.7901,6.5788,6.7517,7.1684,7.1849,7.4080
2313_770,4.5216,4.0864,4.1083,4.6719,4.2972,4.1782
2314_535,7.8636,7.9190,7.9403,8.2191,8.2629,8.4586
2315_755,4.6170,4.7324,4.6505,4.5769,4.3884,4.4441
2316_999,5.5627,5.5470,5.4915,5.8039,5.5114,5.5274
2317_317,8.4597,8.8304,8.8599,8.8614,8.7942,8.7925
2318_330,8.0809,8.2248,8.2982,8.4413,8.2816,8.3577
2319_772,8.2652,8.2740,8.3143,8.5836,8.6088,8.7120
231_917,7.7635,7.8657,7.7572,7.1477,7.1896,7.1285
2320_186,5.2870,5.4605,5.3812,5.3269,5.3424,5.2398
2321_80,5.0847,5.4032,5.2468,4.9827,4.8338,4.8648
2322_534,4.4729,4.6424,4.4086,4.6397,4.2051,4.2551
2323_101,4.2388,4.1118,4.1656,4.1950,4.1225,4.1846
2324_360,4.8948,4.3891,4.5724,4.6177,4.6071,4.8639
2325_384,4.4237,4.1120,4.2218,4.3774,4.3586,4.4762
2326_139,4.4735,4.3812,4.3113,4.4835,4.3671,4.2246
2327_685,4.3677,4.3671,4.3379,4.2137,4.2587,4.1669
2328_383,4.8356,4.4648,4.3651,4.7410,4.4396,4.4436
2329_90,4.0873,3.8556,3.8393,3.8196,3.8438,4.0402
232_990,7.4177,7.2989,7.2013,6.9783,6.8361,6.7979
2330_44,4.7220,4.6630,4.8059,4.8838,4.9442,5.0544
2332_63,4.5095,4.7287,4.7832,4.5456,4.8054,4.6737
2333_693,6.1343,6.2341,6.1986,6.0699,5.9855,6.1084
2334_1022,4.8801,4.7882,4.8134,4.7406,4.7568,4.5649
2335_1170,5.4203,5.3302,5.2042,5.4596,5.2966,5.3414
2336_1204,4.4084,4.5315,4.3989,4.5327,4.3608,4.2988
2337_1005,4.0843,4.1184,3.9990,4.1160,4.1879,4.2342
2338_569,7.6440,7.8993,7.9195,8.2227,8.0087,8.0409
2339_3377,6.4353,6.2726,6.2250,6.9356,6.7649,6.7831
233_18,3.9430,3.7176,3.5243,3.8432,3.6205,3.7006
2340_918,5.4602,5.3778,5.2780,4.7734,4.9917,4.9997
2341_737,4.5515,4.4656,4.1808,4.1184,3.8091,3.7919
2342_1645,4.4750,4.7483,4.6458,4.2045,4.4025,4.2813
2343_1200,5.1661,5.0504,5.0219,4.5740,4.2288,4.3135
